exp,problem,cfg,seed,method,theta,iters,phase1_iters,phase2_iters,fevals,gevals,hevals,hvevals,time_s,gnorm,fval,converged,switched,switched_at_gnorm,probes_failed,rho_hat,decisions,probes_fired,error
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,6.30957344480193e-07,562,562,0,1,565,1,0,0.836,6.702300756716047e-12,-75918.72034491596,1,1,6.337961036299296e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,6.30957344480193e-07,561,561,0,1,564,1,0,0.786,6.517739613884171e-12,-75918.72034491596,1,1,6.476683877034874e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,1.584893192461114e-07,605,605,0,1,608,1,0,1.068,7.0058894450446516e-12,-75918.72034491597,1,1,1.622380929942946e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,1.584893192461114e-07,612,611,1,14,616,2,0,1.302,6.585245905066962e-12,-75918.72034491597,1,1,1.623583044284216e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,1.584893192461114e-07,610,610,0,1,613,1,0,1.075,6.649612398886006e-12,-75918.72034491597,1,1,1.6050337830222968e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,1.584893192461114e-07,602,602,0,1,605,1,0,0.942,6.676291315748579e-12,-75918.72034491594,1,1,1.615655653172842e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,1.584893192461114e-07,607,606,1,2,611,2,0,1.208,6.649410483110298e-12,-75918.72034491596,1,1,1.5899818682838585e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,1.584893192461114e-07,609,609,0,1,612,1,0,1.315,6.475933670106278e-12,-75918.72034491596,1,1,1.5862189380040477e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,1.584893192461114e-07,607,606,1,5,611,2,0,1.449,6.626280562111602e-12,-75918.720344916,1,1,1.6131058418503285e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,1.584893192461114e-07,606,605,1,7,610,2,0,0.981,6.426639083235706e-12,-75918.720344916,1,1,1.6166659315859977e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,1.584893192461114e-07,606,605,1,9,610,2,0,1.425,6.66419983605236e-12,-75918.72034491597,1,1,1.5820055896327929e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,1.584893192461114e-07,605,604,1,8,609,2,0,1.366,6.37084604107513e-12,-75918.72034491593,1,1,1.6217252591537242e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,3.9810717055349776e-08,646,646,0,1,649,1,0,1.372,6.3148826061699036e-12,-75918.720344916,1,1,3.980569915407551e-08,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,3.9810717055349776e-08,653,653,0,1,656,1,0,1.332,6.50916096613978e-12,-75918.72034491599,1,1,4.0373167974286125e-08,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,3.9810717055349776e-08,651,651,0,1,654,1,0,1.384,6.927613124723954e-12,-75918.72034491597,1,1,4.1045499623432506e-08,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,3.9810717055349776e-08,645,644,1,3,649,2,0,1.507,6.3469068294186945e-12,-75918.72034491594,1,1,4.0511265409942135e-08,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,3.9810717055349776e-08,647,646,1,2,651,2,0,1.437,6.639742670497797e-12,-75918.72034491597,1,1,4.051831336811755e-08,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,3.9810717055349776e-08,652,651,1,2,656,2,0,1.452,6.625263556124635e-12,-75918.72034491596,1,1,4.0200171093868285e-08,0,,,,
